Date,Year,Month,MonthNumber,Quarter,MonthYear,MonthYearSort
14-Jun-11,2011,June,6,Q2,Jun-11,201106
15-Jun-11,2011,June,6,Q2,Jun-11,201106
16-Jun-11,2011,June,6,Q2,Jun-11,201106
17-Jun-11,2011,June,6,Q2,Jun-11,201106
18-Jun-11,2011,June,6,Q2,Jun-11,201106
19-Jun-11,2011,June,6,Q2,Jun-11,201106
20-Jun-11,2011,June,6,Q2,Jun-11,201106
21-Jun-11,2011,June,6,Q2,Jun-11,201106
22-Jun-11,2011,June,6,Q2,Jun-11,201106
23-Jun-11,2011,June,6,Q2,Jun-11,201106
24-Jun-11,2011,June,6,Q2,Jun-11,201106
25-Jun-11,2011,June,6,Q2,Jun-11,201106
26-Jun-11,2011,June,6,Q2,Jun-11,201106
27-Jun-11,2011,June,6,Q2,Jun-11,201106
28-Jun-11,2011,June,6,Q2,Jun-11,201106
29-Jun-11,2011,June,6,Q2,Jun-11,201106
30-Jun-11,2011,June,6,Q2,Jun-11,201106
1-Jul-11,2011,July,7,Q3,Jul-11,201107
2-Jul-11,2011,July,7,Q3,Jul-11,201107
3-Jul-11,2011,July,7,Q3,Jul-11,201107
4-Jul-11,2011,July,7,Q3,Jul-11,201107
5-Jul-11,2011,July,7,Q3,Jul-11,201107
6-Jul-11,2011,July,7,Q3,Jul-11,201107
7-Jul-11,2011,July,7,Q3,Jul-11,201107
8-Jul-11,2011,July,7,Q3,Jul-11,201107
9-Jul-11,2011,July,7,Q3,Jul-11,201107
10-Jul-11,2011,July,7,Q3,Jul-11,201107
11-Jul-11,2011,July,7,Q3,Jul-11,201107
12-Jul-11,2011,July,7,Q3,Jul-11,201107
13-Jul-11,2011,July,7,Q3,Jul-11,201107
14-Jul-11,2011,July,7,Q3,Jul-11,201107
15-Jul-11,2011,July,7,Q3,Jul-11,201107
16-Jul-11,2011,July,7,Q3,Jul-11,201107
17-Jul-11,2011,July,7,Q3,Jul-11,201107
18-Jul-11,2011,July,7,Q3,Jul-11,201107
19-Jul-11,2011,July,7,Q3,Jul-11,201107
20-Jul-11,2011,July,7,Q3,Jul-11,201107
21-Jul-11,2011,July,7,Q3,Jul-11,201107
22-Jul-11,2011,July,7,Q3,Jul-11,201107
23-Jul-11,2011,July,7,Q3,Jul-11,201107
24-Jul-11,2011,July,7,Q3,Jul-11,201107
25-Jul-11,2011,July,7,Q3,Jul-11,201107
26-Jul-11,2011,July,7,Q3,Jul-11,201107
27-Jul-11,2011,July,7,Q3,Jul-11,201107
28-Jul-11,2011,July,7,Q3,Jul-11,201107
29-Jul-11,2011,July,7,Q3,Jul-11,201107
30-Jul-11,2011,July,7,Q3,Jul-11,201107
31-Jul-11,2011,July,7,Q3,Jul-11,201107
1-Aug-11,2011,August,8,Q3,Aug-11,201108
2-Aug-11,2011,August,8,Q3,Aug-11,201108
3-Aug-11,2011,August,8,Q3,Aug-11,201108
4-Aug-11,2011,August,8,Q3,Aug-11,201108
5-Aug-11,2011,August,8,Q3,Aug-11,201108
6-Aug-11,2011,August,8,Q3,Aug-11,201108
7-Aug-11,2011,August,8,Q3,Aug-11,201108
8-Aug-11,2011,August,8,Q3,Aug-11,201108
9-Aug-11,2011,August,8,Q3,Aug-11,201108
10-Aug-11,2011,August,8,Q3,Aug-11,201108
11-Aug-11,2011,August,8,Q3,Aug-11,201108
12-Aug-11,2011,August,8,Q3,Aug-11,201108
13-Aug-11,2011,August,8,Q3,Aug-11,201108
14-Aug-11,2011,August,8,Q3,Aug-11,201108
15-Aug-11,2011,August,8,Q3,Aug-11,201108
16-Aug-11,2011,August,8,Q3,Aug-11,201108
17-Aug-11,2011,August,8,Q3,Aug-11,201108
18-Aug-11,2011,August,8,Q3,Aug-11,201108
19-Aug-11,2011,August,8,Q3,Aug-11,201108
20-Aug-11,2011,August,8,Q3,Aug-11,201108
21-Aug-11,2011,August,8,Q3,Aug-11,201108
22-Aug-11,2011,August,8,Q3,Aug-11,201108
23-Aug-11,2011,August,8,Q3,Aug-11,201108
24-Aug-11,2011,August,8,Q3,Aug-11,201108
25-Aug-11,2011,August,8,Q3,Aug-11,201108
26-Aug-11,2011,August,8,Q3,Aug-11,201108
27-Aug-11,2011,August,8,Q3,Aug-11,201108
28-Aug-11,2011,August,8,Q3,Aug-11,201108
29-Aug-11,2011,August,8,Q3,Aug-11,201108
30-Aug-11,2011,August,8,Q3,Aug-11,201108
31-Aug-11,2011,August,8,Q3,Aug-11,201108
1-Sep-11,2011,September,9,Q3,Sep-11,201109
2-Sep-11,2011,September,9,Q3,Sep-11,201109
3-Sep-11,2011,September,9,Q3,Sep-11,201109
4-Sep-11,2011,September,9,Q3,Sep-11,201109
5-Sep-11,2011,September,9,Q3,Sep-11,201109
6-Sep-11,2011,September,9,Q3,Sep-11,201109
7-Sep-11,2011,September,9,Q3,Sep-11,201109
8-Sep-11,2011,September,9,Q3,Sep-11,201109
9-Sep-11,2011,September,9,Q3,Sep-11,201109
10-Sep-11,2011,September,9,Q3,Sep-11,201109
11-Sep-11,2011,September,9,Q3,Sep-11,201109
12-Sep-11,2011,September,9,Q3,Sep-11,201109
13-Sep-11,2011,September,9,Q3,Sep-11,201109
14-Sep-11,2011,September,9,Q3,Sep-11,201109
15-Sep-11,2011,September,9,Q3,Sep-11,201109
16-Sep-11,2011,September,9,Q3,Sep-11,201109
17-Sep-11,2011,September,9,Q3,Sep-11,201109
18-Sep-11,2011,September,9,Q3,Sep-11,201109
19-Sep-11,2011,September,9,Q3,Sep-11,201109
20-Sep-11,2011,September,9,Q3,Sep-11,201109
21-Sep-11,2011,September,9,Q3,Sep-11,201109
22-Sep-11,2011,September,9,Q3,Sep-11,201109
23-Sep-11,2011,September,9,Q3,Sep-11,201109
24-Sep-11,2011,September,9,Q3,Sep-11,201109
25-Sep-11,2011,September,9,Q3,Sep-11,201109
26-Sep-11,2011,September,9,Q3,Sep-11,201109
27-Sep-11,2011,September,9,Q3,Sep-11,201109
28-Sep-11,2011,September,9,Q3,Sep-11,201109
29-Sep-11,2011,September,9,Q3,Sep-11,201109
30-Sep-11,2011,September,9,Q3,Sep-11,201109
1-Oct-11,2011,October,10,Q4,Oct-11,201110
2-Oct-11,2011,October,10,Q4,Oct-11,201110
3-Oct-11,2011,October,10,Q4,Oct-11,201110
4-Oct-11,2011,October,10,Q4,Oct-11,201110
5-Oct-11,2011,October,10,Q4,Oct-11,201110
6-Oct-11,2011,October,10,Q4,Oct-11,201110
7-Oct-11,2011,October,10,Q4,Oct-11,201110
8-Oct-11,2011,October,10,Q4,Oct-11,201110
9-Oct-11,2011,October,10,Q4,Oct-11,201110
10-Oct-11,2011,October,10,Q4,Oct-11,201110
11-Oct-11,2011,October,10,Q4,Oct-11,201110
12-Oct-11,2011,October,10,Q4,Oct-11,201110
13-Oct-11,2011,October,10,Q4,Oct-11,201110
14-Oct-11,2011,October,10,Q4,Oct-11,201110
15-Oct-11,2011,October,10,Q4,Oct-11,201110
16-Oct-11,2011,October,10,Q4,Oct-11,201110
17-Oct-11,2011,October,10,Q4,Oct-11,201110
18-Oct-11,2011,October,10,Q4,Oct-11,201110
19-Oct-11,2011,October,10,Q4,Oct-11,201110
20-Oct-11,2011,October,10,Q4,Oct-11,201110
21-Oct-11,2011,October,10,Q4,Oct-11,201110
22-Oct-11,2011,October,10,Q4,Oct-11,201110
23-Oct-11,2011,October,10,Q4,Oct-11,201110
24-Oct-11,2011,October,10,Q4,Oct-11,201110
25-Oct-11,2011,October,10,Q4,Oct-11,201110
26-Oct-11,2011,October,10,Q4,Oct-11,201110
27-Oct-11,2011,October,10,Q4,Oct-11,201110
28-Oct-11,2011,October,10,Q4,Oct-11,201110
29-Oct-11,2011,October,10,Q4,Oct-11,201110
30-Oct-11,2011,October,10,Q4,Oct-11,201110
31-Oct-11,2011,October,10,Q4,Oct-11,201110
1-Nov-11,2011,November,11,Q4,Nov-11,201111
2-Nov-11,2011,November,11,Q4,Nov-11,201111
3-Nov-11,2011,November,11,Q4,Nov-11,201111
4-Nov-11,2011,November,11,Q4,Nov-11,201111
5-Nov-11,2011,November,11,Q4,Nov-11,201111
6-Nov-11,2011,November,11,Q4,Nov-11,201111
7-Nov-11,2011,November,11,Q4,Nov-11,201111
8-Nov-11,2011,November,11,Q4,Nov-11,201111
9-Nov-11,2011,November,11,Q4,Nov-11,201111
10-Nov-11,2011,November,11,Q4,Nov-11,201111
11-Nov-11,2011,November,11,Q4,Nov-11,201111
12-Nov-11,2011,November,11,Q4,Nov-11,201111
13-Nov-11,2011,November,11,Q4,Nov-11,201111
14-Nov-11,2011,November,11,Q4,Nov-11,201111
15-Nov-11,2011,November,11,Q4,Nov-11,201111
16-Nov-11,2011,November,11,Q4,Nov-11,201111
17-Nov-11,2011,November,11,Q4,Nov-11,201111
18-Nov-11,2011,November,11,Q4,Nov-11,201111
19-Nov-11,2011,November,11,Q4,Nov-11,201111
20-Nov-11,2011,November,11,Q4,Nov-11,201111
21-Nov-11,2011,November,11,Q4,Nov-11,201111
22-Nov-11,2011,November,11,Q4,Nov-11,201111
23-Nov-11,2011,November,11,Q4,Nov-11,201111
24-Nov-11,2011,November,11,Q4,Nov-11,201111
25-Nov-11,2011,November,11,Q4,Nov-11,201111
26-Nov-11,2011,November,11,Q4,Nov-11,201111
27-Nov-11,2011,November,11,Q4,Nov-11,201111
28-Nov-11,2011,November,11,Q4,Nov-11,201111
29-Nov-11,2011,November,11,Q4,Nov-11,201111
30-Nov-11,2011,November,11,Q4,Nov-11,201111
1-Dec-11,2011,December,12,Q4,Dec-11,201112
2-Dec-11,2011,December,12,Q4,Dec-11,201112
3-Dec-11,2011,December,12,Q4,Dec-11,201112
4-Dec-11,2011,December,12,Q4,Dec-11,201112
5-Dec-11,2011,December,12,Q4,Dec-11,201112
6-Dec-11,2011,December,12,Q4,Dec-11,201112
7-Dec-11,2011,December,12,Q4,Dec-11,201112
8-Dec-11,2011,December,12,Q4,Dec-11,201112
9-Dec-11,2011,December,12,Q4,Dec-11,201112
10-Dec-11,2011,December,12,Q4,Dec-11,201112
11-Dec-11,2011,December,12,Q4,Dec-11,201112
12-Dec-11,2011,December,12,Q4,Dec-11,201112
13-Dec-11,2011,December,12,Q4,Dec-11,201112
14-Dec-11,2011,December,12,Q4,Dec-11,201112
15-Dec-11,2011,December,12,Q4,Dec-11,201112
16-Dec-11,2011,December,12,Q4,Dec-11,201112
17-Dec-11,2011,December,12,Q4,Dec-11,201112
18-Dec-11,2011,December,12,Q4,Dec-11,201112
19-Dec-11,2011,December,12,Q4,Dec-11,201112
20-Dec-11,2011,December,12,Q4,Dec-11,201112
21-Dec-11,2011,December,12,Q4,Dec-11,201112
22-Dec-11,2011,December,12,Q4,Dec-11,201112
23-Dec-11,2011,December,12,Q4,Dec-11,201112
24-Dec-11,2011,December,12,Q4,Dec-11,201112
25-Dec-11,2011,December,12,Q4,Dec-11,201112
26-Dec-11,2011,December,12,Q4,Dec-11,201112
27-Dec-11,2011,December,12,Q4,Dec-11,201112
28-Dec-11,2011,December,12,Q4,Dec-11,201112
29-Dec-11,2011,December,12,Q4,Dec-11,201112
30-Dec-11,2011,December,12,Q4,Dec-11,201112
31-Dec-11,2011,December,12,Q4,Dec-11,201112
1-Jan-12,2012,January,1,Q1,Jan-12,201201
2-Jan-12,2012,January,1,Q1,Jan-12,201201
3-Jan-12,2012,January,1,Q1,Jan-12,201201
4-Jan-12,2012,January,1,Q1,Jan-12,201201
5-Jan-12,2012,January,1,Q1,Jan-12,201201
6-Jan-12,2012,January,1,Q1,Jan-12,201201
7-Jan-12,2012,January,1,Q1,Jan-12,201201
8-Jan-12,2012,January,1,Q1,Jan-12,201201
9-Jan-12,2012,January,1,Q1,Jan-12,201201
10-Jan-12,2012,January,1,Q1,Jan-12,201201
11-Jan-12,2012,January,1,Q1,Jan-12,201201
12-Jan-12,2012,January,1,Q1,Jan-12,201201
13-Jan-12,2012,January,1,Q1,Jan-12,201201
14-Jan-12,2012,January,1,Q1,Jan-12,201201
15-Jan-12,2012,January,1,Q1,Jan-12,201201
16-Jan-12,2012,January,1,Q1,Jan-12,201201
17-Jan-12,2012,January,1,Q1,Jan-12,201201
18-Jan-12,2012,January,1,Q1,Jan-12,201201
19-Jan-12,2012,January,1,Q1,Jan-12,201201
20-Jan-12,2012,January,1,Q1,Jan-12,201201
21-Jan-12,2012,January,1,Q1,Jan-12,201201
22-Jan-12,2012,January,1,Q1,Jan-12,201201
23-Jan-12,2012,January,1,Q1,Jan-12,201201
24-Jan-12,2012,January,1,Q1,Jan-12,201201
25-Jan-12,2012,January,1,Q1,Jan-12,201201
26-Jan-12,2012,January,1,Q1,Jan-12,201201
27-Jan-12,2012,January,1,Q1,Jan-12,201201
28-Jan-12,2012,January,1,Q1,Jan-12,201201
29-Jan-12,2012,January,1,Q1,Jan-12,201201
30-Jan-12,2012,January,1,Q1,Jan-12,201201
31-Jan-12,2012,January,1,Q1,Jan-12,201201
1-Feb-12,2012,February,2,Q1,Feb-12,201202
2-Feb-12,2012,February,2,Q1,Feb-12,201202
3-Feb-12,2012,February,2,Q1,Feb-12,201202
4-Feb-12,2012,February,2,Q1,Feb-12,201202
5-Feb-12,2012,February,2,Q1,Feb-12,201202
6-Feb-12,2012,February,2,Q1,Feb-12,201202
7-Feb-12,2012,February,2,Q1,Feb-12,201202
8-Feb-12,2012,February,2,Q1,Feb-12,201202
9-Feb-12,2012,February,2,Q1,Feb-12,201202
10-Feb-12,2012,February,2,Q1,Feb-12,201202
11-Feb-12,2012,February,2,Q1,Feb-12,201202
12-Feb-12,2012,February,2,Q1,Feb-12,201202
13-Feb-12,2012,February,2,Q1,Feb-12,201202
14-Feb-12,2012,February,2,Q1,Feb-12,201202
15-Feb-12,2012,February,2,Q1,Feb-12,201202
16-Feb-12,2012,February,2,Q1,Feb-12,201202
17-Feb-12,2012,February,2,Q1,Feb-12,201202
18-Feb-12,2012,February,2,Q1,Feb-12,201202
19-Feb-12,2012,February,2,Q1,Feb-12,201202
20-Feb-12,2012,February,2,Q1,Feb-12,201202
21-Feb-12,2012,February,2,Q1,Feb-12,201202
22-Feb-12,2012,February,2,Q1,Feb-12,201202
23-Feb-12,2012,February,2,Q1,Feb-12,201202
24-Feb-12,2012,February,2,Q1,Feb-12,201202
25-Feb-12,2012,February,2,Q1,Feb-12,201202
26-Feb-12,2012,February,2,Q1,Feb-12,201202
27-Feb-12,2012,February,2,Q1,Feb-12,201202
28-Feb-12,2012,February,2,Q1,Feb-12,201202
29-Feb-12,2012,February,2,Q1,Feb-12,201202
1-Mar-12,2012,March,3,Q1,Mar-12,201203
2-Mar-12,2012,March,3,Q1,Mar-12,201203
3-Mar-12,2012,March,3,Q1,Mar-12,201203
4-Mar-12,2012,March,3,Q1,Mar-12,201203
5-Mar-12,2012,March,3,Q1,Mar-12,201203
6-Mar-12,2012,March,3,Q1,Mar-12,201203
7-Mar-12,2012,March,3,Q1,Mar-12,201203
8-Mar-12,2012,March,3,Q1,Mar-12,201203
9-Mar-12,2012,March,3,Q1,Mar-12,201203
10-Mar-12,2012,March,3,Q1,Mar-12,201203
11-Mar-12,2012,March,3,Q1,Mar-12,201203
12-Mar-12,2012,March,3,Q1,Mar-12,201203
13-Mar-12,2012,March,3,Q1,Mar-12,201203
14-Mar-12,2012,March,3,Q1,Mar-12,201203
15-Mar-12,2012,March,3,Q1,Mar-12,201203
16-Mar-12,2012,March,3,Q1,Mar-12,201203
17-Mar-12,2012,March,3,Q1,Mar-12,201203
18-Mar-12,2012,March,3,Q1,Mar-12,201203
19-Mar-12,2012,March,3,Q1,Mar-12,201203
20-Mar-12,2012,March,3,Q1,Mar-12,201203
21-Mar-12,2012,March,3,Q1,Mar-12,201203
22-Mar-12,2012,March,3,Q1,Mar-12,201203
23-Mar-12,2012,March,3,Q1,Mar-12,201203
24-Mar-12,2012,March,3,Q1,Mar-12,201203
25-Mar-12,2012,March,3,Q1,Mar-12,201203
26-Mar-12,2012,March,3,Q1,Mar-12,201203
27-Mar-12,2012,March,3,Q1,Mar-12,201203
28-Mar-12,2012,March,3,Q1,Mar-12,201203
29-Mar-12,2012,March,3,Q1,Mar-12,201203
30-Mar-12,2012,March,3,Q1,Mar-12,201203
31-Mar-12,2012,March,3,Q1,Mar-12,201203
1-Apr-12,2012,April,4,Q2,Apr-12,201204
2-Apr-12,2012,April,4,Q2,Apr-12,201204
3-Apr-12,2012,April,4,Q2,Apr-12,201204
4-Apr-12,2012,April,4,Q2,Apr-12,201204
5-Apr-12,2012,April,4,Q2,Apr-12,201204
6-Apr-12,2012,April,4,Q2,Apr-12,201204
7-Apr-12,2012,April,4,Q2,Apr-12,201204
8-Apr-12,2012,April,4,Q2,Apr-12,201204
9-Apr-12,2012,April,4,Q2,Apr-12,201204
10-Apr-12,2012,April,4,Q2,Apr-12,201204
11-Apr-12,2012,April,4,Q2,Apr-12,201204
12-Apr-12,2012,April,4,Q2,Apr-12,201204
13-Apr-12,2012,April,4,Q2,Apr-12,201204
14-Apr-12,2012,April,4,Q2,Apr-12,201204
15-Apr-12,2012,April,4,Q2,Apr-12,201204
16-Apr-12,2012,April,4,Q2,Apr-12,201204
17-Apr-12,2012,April,4,Q2,Apr-12,201204
18-Apr-12,2012,April,4,Q2,Apr-12,201204
19-Apr-12,2012,April,4,Q2,Apr-12,201204
20-Apr-12,2012,April,4,Q2,Apr-12,201204
21-Apr-12,2012,April,4,Q2,Apr-12,201204
22-Apr-12,2012,April,4,Q2,Apr-12,201204
23-Apr-12,2012,April,4,Q2,Apr-12,201204
24-Apr-12,2012,April,4,Q2,Apr-12,201204
25-Apr-12,2012,April,4,Q2,Apr-12,201204
26-Apr-12,2012,April,4,Q2,Apr-12,201204
27-Apr-12,2012,April,4,Q2,Apr-12,201204
28-Apr-12,2012,April,4,Q2,Apr-12,201204
29-Apr-12,2012,April,4,Q2,Apr-12,201204
30-Apr-12,2012,April,4,Q2,Apr-12,201204
1-May-12,2012,May,5,Q2,May-12,201205
2-May-12,2012,May,5,Q2,May-12,201205
3-May-12,2012,May,5,Q2,May-12,201205
4-May-12,2012,May,5,Q2,May-12,201205
5-May-12,2012,May,5,Q2,May-12,201205
6-May-12,2012,May,5,Q2,May-12,201205
7-May-12,2012,May,5,Q2,May-12,201205
8-May-12,2012,May,5,Q2,May-12,201205
9-May-12,2012,May,5,Q2,May-12,201205
10-May-12,2012,May,5,Q2,May-12,201205
11-May-12,2012,May,5,Q2,May-12,201205
12-May-12,2012,May,5,Q2,May-12,201205
13-May-12,2012,May,5,Q2,May-12,201205
14-May-12,2012,May,5,Q2,May-12,201205
15-May-12,2012,May,5,Q2,May-12,201205
16-May-12,2012,May,5,Q2,May-12,201205
17-May-12,2012,May,5,Q2,May-12,201205
18-May-12,2012,May,5,Q2,May-12,201205
